State,City,Population,Crime Index total,Modified Crime Index total1,Murder      and non-negligent         man-     slaughter,Forcible rape,Robbery,Aggravated assault,Burglary,Larceny-theft,Motor vehicle theft,Arson,,,,,,,
,Novato,"50,052","1,341","1,349",1,13,16,125,279,818,89,8,,,,,,,
,Oakdale,"15,712",938,947,1,10,15,67,255,537,53,9,,,,,,,
,Oakland,"373,215","25,060","25,350",80,320,"1,929","2,709","3,506","11,652","4,864",290,,,,,,,
,Oceanside,"159,969","5,853","5,878",3,85,186,577,"1,140","3,293",569,25,,,,,,,
,Ontario,"151,931","7,653","7,752",15,68,318,725,"1,124","3,907","1,496",99,,,,,,,
,Orange,"128,441","3,349","3,414",2,17,83,232,512,"2,077",426,65,,,,,,,
,Orinda,"20,193",235,237,               -,4,5,5,68,137,16,2,,,,,,,
,Oroville,"12,681",929,929,1,             -,27,9,287,495,110,           -,,,,,,,
,Oxnard,"159,800","5,661","5,702",9,60,375,420,924,"3,417",456,41,,,,,,,
,Pacifica,"41,624",700,704,1,6,18,84,110,412,69,4,,,,,,,
,Pacific Grove,"16,519",306,307,               -,6,3,38,74,173,12,1,,,,,,,
,Palmdale,"113,711","4,392","4,430",6,39,179,757,928,"1,982",501,38,,,,,,,
,Palm Desert,"38,171","1,837","1,840",               -,12,33,121,388,"1,139",144,3,,,,,,,
,Palm Springs,"45,192","3,238","3,265",2,25,114,317,705,"1,718",357,27,,,,,,,
,Palo Alto,"60,133","1,905","1,915",1,6,46,40,223,"1,503",86,10,,,,,,,
